line,chorus_or_verse,chorus_or_verse_number,song
You sold your records by the pile,verse,1,You Moved Away
For they were only yours for a while,verse,1,You Moved Away
You placed your furniture in the yard,verse,1,You Moved Away
And it was gone within the hour,verse,1,You Moved Away
When you moved away,chorus,1,You Moved Away
All your friends came over and you told them what to take,chorus,1,You Moved Away
When you moved away,chorus,1,You Moved Away
Everyone thought it was a mistake,chorus,1,You Moved Away
You mopped the floors and filled the cracks,verse,2,You Moved Away
To get your security deposit back,verse,2,You Moved Away
You closed your account at the bank,verse,2,You Moved Away
You checked your tires and filled the tank,verse,2,You Moved Away
When you moved away,chorus,2,You Moved Away
All of your friends got drunk and one by one begged you to stay,chorus,2,You Moved Away
When you moved away,chorus,2,You Moved Away
They all felt irrationally betrayed,chorus,2,You Moved Away
Since you moved away,chorus,3,You Moved Away
I walk past your vacant apartment almost every day,chorus,3,You Moved Away
When you moved away,chorus,3,You Moved Away
You left this town with such an empty space,chorus,3,You Moved Away
You flicker like a fluorescent light,verse,1,Near/Far
An intermittent strobe in a lonely night,verse,1,Near/Far
As I am standing by your side,verse,1,Near/Far
Trying to breach this dark and deep divide,verse,1,Near/Far
You're here,chorus,1,Near/Far
So far away,chorus,1,Near/Far
So near,chorus,1,Near/Far
So far,chorus,1,Near/Far
I hear you talking to yourself,verse,2,Near/Far
Cursing every card you wanted dealt,verse,2,Near/Far
But I can't help you play your hand,verse,2,Near/Far
If you mistake every word for a command,verse,2,Near/Far
You're here,verse,2,Near/Far
So far away,bridge,1,Near/Far
So near,bridge,1,Near/Far
So far away,bridge,1,Near/Far
You're here,chorus,1,Near/Far
So far away,chorus,1,Near/Far
So near,chorus,1,Near/Far
So far,chorus,1,Near/Far
You flicker like a fluorescent light,verse,3,Near/Far
An intermittent strobe in a lonely night,verse,3,Near/Far
But I won't watch you burning out,verse,3,Near/Far
I won't let you be the one I live without,verse,3,Near/Far
There's nothing funny about just slipping away,verse,1,60 & Punk
It's nothing funny how you're spending your days,verse,1,60 & Punk
But you're laughing like a kid at a carnival,verse,1,60 & Punk
I watched you stumbling around this dusty town,verse,1,60 & Punk
I heard your bottle talking way too loud,verse,1,60 & Punk
As the Federales tried to hunt you down,verse,1,60 & Punk
For something you can't remember what was about,verse,1,60 & Punk
The curtain falls to applause,chorus,1,60 & Punk
"And the band plays you off, the band plays you off",chorus,1,60 & Punk
He's a superhero growing bored,chorus,1,60 & Punk
With no one to save anymore,chorus,1,60 & Punk
I used to watch you on the late night scene,verse,2,60 & Punk
The timely rescue of a metal teen,verse,2,60 & Punk
Six strings were strumming rhythm and lead,verse,2,60 & Punk
And that hadn't occurred to me,verse,2,60 & Punk
When I met you I was 22,verse,2,60 & Punk
Trying so hard to play it cool,verse,2,60 & Punk
But there was so much that I needed to say,verse,2,60 & Punk
And nothing came out the right way,verse,2,60 & Punk
The curtain falls to applause,chorus,1,60 & Punk
"And the band plays you off, the band plays you off",chorus,1,60 & Punk
He's a superhero growing bored,chorus,1,60 & Punk
With no one to save anymore,chorus,1,60 & Punk
The curtain falls to applause,chorus,1,60 & Punk
"And the band plays you off, the band plays you off",chorus,1,60 & Punk
He's a superhero growing bored,chorus,1,60 & Punk
With no one to save anymore,chorus,1,60 & Punk
